rok;im;em;wsp_mig;miasto;cena
2018;226;104;122;Kielce;4310.56
2018;274;155;119;Kraków;6725.19
2018;320;136;184;Lublin;5262.38
2018;241;184;57;Łódź;4747.75
2018;211;305;-94;Olsztyn;4976.68
2018;454;1038;-584;Opole;4837.0
2018;162;114;48;Poznań;6309.24
2018;293;70;223;Rzeszów;5091.0
2018;162;154;8;Szczecin;5105.03
2018;2061;338;1723;Warszawa;8382.08
2018;554;146;408;Wrocław;6385.25
2018;250;195;55;Zielona_Góra;3756.38
2019;431;179;252;Białystok;5363.63
2019;343;192;151;Bydgoszcz;5503.5
2019;238;77;161;Gdańsk;8121.81
2019;276;404;-128;Katowice;5630.27
2019;249;59;190;Kielce;4671.0
2019;354;109;245;Kraków;7414.86
2019;370;158;212;Lublin;5715.06
2019;249;179;70;Łódź;5272.62
2019;218;225;-7;Olsztyn;5451.66
2019;497;942;-445;Opole;5191.77
2019;204;86;118;Poznań;6778.56
2019;343;59;284;Rzeszów;5648.5
2019;161;138;23;Szczecin;5892.89
2019;2237;302;1935;Warszawa;9233.07
2019;493;166;327;Wrocław;7085.63
2019;342;194;148;Zielona_Góra;4377.5
2020;351;91;260;Białystok;5765.61
2020;229;101;128;Bydgoszcz;5993.31
2020;207;97;110;Gdańsk;8843.73
2020;244;286;-42;Katowice;6130.36
2020;177;93;84;Kielce;5204.04
2020;309;118;191;Kraków;8308.01
2020;293;152;141;Lublin;6275.44
2020;189;150;39;Łódź;5843.84
2020;165;185;-20;Olsztyn;5968.21
2020;441;813;-372;Opole;5754.27
2020;191;63;128;Poznań;7187.87
2020;302;59;243;Rzeszów;6309.18
2020;132;122;10;Szczecin;6465.48
2020;1841;291;1550;Warszawa;10123.1
2020;405;169;236;Wrocław;7852.74
2020;219;107;112;Zielona_Góra;4850.43
2021;392;86;306;Białystok;5958.46
2021;256;189;67;Bydgoszcz;6325.93
2021;234;130;104;Gdańsk;9412.42
2021;288;356;-68;Katowice;6370.46
2021;232;153;79;Kielce;5477.4
2021;341;187;154;Kraków;8621.93
2021;311;186;125;Lublin;6713.65
2021;201;136;65;Łódź;5966.85
2021;187;232;-45;Olsztyn;6068.26
2021;513;1138;-625;Opole;5790.81
2021;229;86;143;Poznań;7360.96
2021;335;141;194;Rzeszów;6532.18
2021;1547;300;1247;Szczecin;6807.0
2021;2400;449;1951;Warszawa;10400.37
2021;407;186;221;Wrocław;8240.3
2021;239;198;41;Zielona_Góra;5035.43
